sale_id,sale_date,customer_id,car_make,car_model,car_year,category,color,mileage,sale_price,payment_method,dealership,salesperson,state,commission
SALE20244500,2024-01-01,CUST14500,Honda,Accord,2023,Sedan,Black,16,29518.87,Lease,Westside Auto,David Anderson,FL,850.2
SALE20241760,2024-01-01,CUST11760,BMW,3 Series,2024,Luxury,Black,35,47624.88,Finance,North Point Cars,Mary Jackson,IL,1012.44
SALE20241772,2024-01-01,CUST11772,Mazda,CX-5,2024,SUV,White,8,31947.14,Finance,Downtown Motors,Emily Davis,PA,1079.2
SALE20241776,2024-01-01,CUST11776,Nissan,Rogue,2023,SUV,Brown,10,30553.6,Lease,Downtown Motors,Sarah Johnson,PA,1296.27
SALE20242044,2024-01-01,CUST12044,Ford,F-150,2024,Truck,White,23,46295.44,Cash,Downtown Motors,James Thomas,NC,1958.91
SALE20243788,2024-01-01,CUST13788,BMW,3 Series,2024,Luxury,Silver,18,43744.49,Finance,North Point Cars,Lisa Taylor,TX,1847.71
SALE20240915,2024-01-01,CUST10915,Hyundai,Sonata,2024,Sedan,Red,31,27016.55,Cash,Eastside Dealers,James Thomas,IL,1268.43
SALE20240265,2024-01-01,CUST10265,Tesla,Model Y,2024,Electric,Silver,21,51504.11,Finance,Eastside Dealers,Robert Wilson,TX,1157.43
SALE20244895,2024-01-01,CUST14895,Ford,Escape,2024,SUV,Red,49,33379.85,Lease,Downtown Motors,Robert Wilson,IL,1469.68
SALE20243125,2024-01-01,CUST13125,Ford,Explorer,2023,SUV,Silver,11,40110.8,Cash,Eastside Dealers,Lisa Taylor,OH,1193.6
SALE20243354,2024-01-01,CUST13354,Honda,Accord,2024,Sedan,Black,44,32484.64,Finance,South Bay Autos,Mary Jackson,OH,1274.86
SALE20243303,2024-01-01,CUST13303,Tesla,Model 3,2023,Electric,Black,10,43115.02,Cash,North Point Cars,Jennifer Martinez,FL,1546.21
SALE20243216,2024-01-01,CUST13216,Chevrolet,Silverado,2023,Truck,Gray,9,40264.47,Lease,North Point Cars,Lisa Taylor,MI,1121.22
SALE20242767,2024-01-01,CUST12767,Chevrolet,Silverado,2024,Truck,White,39,42342.76,Finance,South Bay Autos,Lisa Taylor,NY,964.65
SALE20241381,2024-01-01,CUST11381,Chevrolet,Silverado,2024,Truck,Silver,28,41560.48,Cash,Downtown Motors,Emily Davis,NY,926.09
